Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Balloon That Would Not Die","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723229/the-balloon-that-would-not-die,2.0,-1,Trad,5.7,2,220,34.07265,-116.14076
Clipper,"The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724840/clipper,1.0,-1,Trad,5.7,1,40,34.0835,-116.1406
"Swimming To Antarctica","The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724888/swimming-to-antarctica,1.0,-1,Trad,5.7,1,50,34.0835,-116.1406
"Election Fraud Rules","The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724861/election-fraud-rules,1.0,-1,Trad,5.7+,1,70,34.0835,-116.1406
"Wild Goose Chase","The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722818/wild-goose-chase,2.0,-1,Trad,5.7+,1,60,34.0835,-116.1406
"Jojoba Heater","Rattlesnake Buttress > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108442899/jojoba-heater,3.0,-1,Trad,5.7,1,80,34.07734,-116.14081
"Ranch Hand","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725032/ranch-hand,1.4,-1,Trad,5.7,1,80,34.08348,-116.14258
"Corral Crack","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723064/corral-crack,1.5,-1,Trad,5.7,1,60,34.08348,-116.14258
"Shotgun Wedding","Corral Wall - Right Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110104716/shotgun-wedding,1.0,-1,Trad,"5.7 R",1,70,34.08355,-116.14213
"Stink Steak","The Pyramid > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724024/stink-steak,0.0,-1,Trad,5.7,1,70,34.07859,-116.1451
